STOK KODU;BUFFER;DEPO;PASİF
00675-100;Kalacak;;
00696-200;Kalacak;;
00698-200;Kalacak;;
00711-200;Kalacak;;
00718-100;Kalacak;;
00724-100;Kalacak;;
00740-100;;2;
00746-200;Kalacak;;
00748-200;Kalacak;;
00749-200;Kalacak;;
00770-200;Kalacak;;
00776-100;Kalacak;;
80000-100;;;
80001-100;;;
80002-100;;;
80003-100;;;
80004-100;;;
80005-100;;2;
80006-100;;;
80007-100;;;
80008-100;;;
80009-100;;2;
80010-100;;2;
80011-100;;;
80014-200;Kalacak;;
80050-100;;;
00654-100;Kalacak;;
00655-100;Kalacak;;
00658-200;;;5
36050-200;Kalacak;;
36051-200;Kalacak;;
36053-100;Kalacak;;
36091-100;Kalacak;;
36093-100;Kalacak;;
36102-100;;2;
36103-100;;2;
36172-100;Kalacak;;
36173-100;Kalacak;;
36174-100;Kalacak;;
36176-100;Kalacak;;
36177-100;Kalacak;;
36178-100;Kalacak;;
36179-100;Kalacak;;
36180-100;Kalacak;;
36181-100;Kalacak;;
36182-100;Kalacak;;
36183-100;Kalacak;;
36184-100;Kalacak;;
36222-100;;;
36223-100;Kalacak;;
36224-100;Kalacak;;
55000-100;Kalacak;;
55001-100;Kalacak;;
55002-100;Kalacak;;
55003-100;Kalacak;;
33060-100;;;5
33061-100;;;5
33062-100;;;
33063-100;;;5
33064-100;;2;
33065-100;;2;
34000-200;;;5
34001-200;;;5
34051-200;;;
34052-200;;;
34053-200;;;
34054-200;;;5
34055-200;Kalacak;;
34056-100;;;
34061-200;;;5
34062-100;;;
34071-100;;2;
34072-100;;;5
34073-100;;;5
34074-100;;;5
34075-100;;2;
34076-100;;;5
34077-100;Kalacak;;
34078-100;Kalacak;;
34079-100;;;5
34080-100;Kalacak;;
34081-200;;2;
34082-100;Kalacak;;
34083-100;;2;
34084-100;;;
34085-100;Kalacak;;
34086-100;Kalacak;;
34087-100;Kalacak;;
34088-100;;;
34089-100;;;
34090-100;;;
34091-100;;;
34092-100;;;
34093-100;;;5
34094-100;Kalacak;;
34095-100;;;
34096-100;;;
34097-100;;;
34098-100;;;
34099-100;;;
34100-100;;;5
34101-200;;2;
34102-200;;;5
34103-200;;;5
34104-100;;;
34105-100;;;
34106-100;;;
34107-100;;;
34108-100;Kalacak;;
34109-100;;2;
34111-200;;;
34112-200;Kalacak;;
34114-200;;;5
34115-100;Kalacak;;
34116-100;Kalacak;;
34117-100;;2;
34118-100;Kalacak;;
34119-100;;;5
34120-100;;2;
34121-100;;2;
34122-100;;2;
34124-100;;;5
34125-100;;;5
34127-100;;2;
34128-100;;;
34129-100;;;
34130-100;;;
34142-200;;;5
34143-200;;;
34144-100;Kalacak;;
34145-100;;;
34146-100;Kalacak;;
34152-100;;2;
34161-200;;;5
34162-200;Kalacak;;
34192-100;Kalacak;;
34193-100;Kalacak;;
34194-200;;;5
34195-200;;;
34196-200;;;
34197-100;;;
34198-100;;;
34211-200;Kalacak;;
34212-200;Kalacak;;
34213-200;Kalacak;;
34221-100;;2;
34222-100;;;5
34223-100;;;5
34224-100;;2;
34225-100;;;5
34226-100;;;
34230-200;Kalacak;;
34241-100;Kalacak;;
34242-100;Kalacak;;
34244-200;;2;
34245-100;;;
34251-200;Kalacak;;
34252-100;Kalacak;;
34261-200;Kalacak;;
34263-100;;2;
34271-100;;;5
34272-100;;2;
34273-100;;2;
34274-100;Kalacak;;
34275-100;Kalacak;;
34276-100;Kalacak;;
34277-100;;;
34278-100;;;
34279-100;Kalacak;;
34290-100;;;5
34291-200;;;
34292-100;;;
00100-200;;;5
34295-100;Kalacak;;
34296-100;;;
34297-100;;;5
34298-200;;;5
34299-100;;2;
34300-100;Kalacak;;
34301-100;;2;
34302-100;Kalacak;;
34303-100;Kalacak;;
34304-100;Kalacak;;
34305-100;Kalacak;;
34306-100;Kalacak;;
34307-100;Kalacak;;
34308-100;;;
34309-100;Kalacak;;
34310-100;Kalacak;;
34311-100;;;
34312-100;;;
34313-100;Kalacak;;
34314-100;Kalacak;;
34315-100;Kalacak;;
34316-100;Kalacak;;
34317-100;Kalacak;;
34318-100;Kalacak;;
34319-100;Kalacak;;
34320-100;;2;
34321-100;;2;
34322-100;;;5
34323-100;Kalacak;;
34324-100;;;5
34325-200;Kalacak;;
34326-200;Kalacak;;
34327-100;;;
34328-200;Kalacak;;
34329-200;;2;
34330-200;;;5
34331-200;;2;
34332-100;;2;
34333-100;;;
34334-200;;2;
34336-100;;2;
34337-100;;2;
34338-100;;2;
34339-100;;2;
34340-100;;2;
34341-100;;;
34342-100;;;
34343-100;;;
34344-200;Kalacak;;
34345-100;;2;
34346-100;;;
34347-100;Kalacak;;
34348-100;Kalacak;;
34349-100;Kalacak;;
34350-100;Kalacak;;
34352-100;Kalacak;;
34353-100;Kalacak;;
34354-100;;;5
34355-100;;;
34356-100;;2;
34357-100;;;
34358-100;Kalacak;;
34359-100;;;
34360-100;;;
34361-100;;;
34362-100;;;
34363-100;Kalacak;;
34364-100;Kalacak;;
34365-100;Kalacak;;
34366-100;Kalacak;;
34367-100;Kalacak;;
34368-100;Kalacak;;
34369-100;Kalacak;;
34370-100;Kalacak;;
34371-100;;;
34372-100;Kalacak;;
34373-100;Kalacak;;
34374-100;;;5
34375-100;;;
34376-100;;;
34377-100;;;
34378-100;Kalacak;;
34379-100;;;
34381-100;;;5
34382-100;;2;
34383-100;;2;
34384-100;;2;
34385-100;;2;
34386-100;;2;
34387-100;;;5
34391-100;;;
34392-100;;;
34393-100;;;
34394-100;;;
34395-100;;;
34396-100;;;
34401-100;;;5
34402-100;Kalacak;;
34403-100;;2;
34404-100;;2;
34405-100;;2;
34406-100;;;5
34411-100;Kalacak;;
34412-100;;;5
34413-100;;2;
34414-100;Kalacak;;
34415-100;Kalacak;;
34416-100;;2;
00569-100;;;5
34418-100;;2;
34420-100;;2;
34421-100;Kalacak;;
34422-100;;;5
34423-100;;;
34424-100;;;
34425-100;Kalacak;;
34426-100;Kalacak;;
34427-100;;2;
34428-100;;2;
34429-100;;;
34430-100;;;
34431-100;;;
34432-100;;;
34433-100;Kalacak;;
34434-100;;;
34435-100;;;
34436-100;Kalacak;;
34437-100;Kalacak;;
34438-100;Kalacak;;
34440-100;;;
34441-100;;;
00533-200;;2;
00614-100;Kalacak;;
00709-200;;;5
34445-100;;;
34446-100;;;
34447-100;;;
34448-100;;;
34449-100;;;
34450-100;;;
34451-100;;;
34452-100;;;
34453-100;;2;
34454-100;;2;
34455-100;Kalacak;;
34456-100;;;
34457-100;;;
34458-100;;;
34459-100;;;5
34460-100;;;5
34461-100;;;
34462-100;;;
34463-100;;;
34464-100;;;5
34465-100;;;
34466-100;;;
34467-100;;;
34468-100;;;
34469-100;;;
34470-100;;;
34471-100;;;
34472-100;;;5
34473-100;;;
34474-100;;;
34475-100;;;
34476-100;Kalacak;;
34477-100;Kalacak;;
34478-100;Kalacak;;
34479-100;;2;
34480-100;Kalacak;;
34481-100;;;
34482-100;;;
34483-100;;;
34484-100;;;
34485-100;;;
34486-100;;;5
34487-100;;;
34488-100;;2;
34500-100;Kalacak;;
34502-100;;;
34503-100;;;
34504-100;Kalacak;;
34505-100;Kalacak;;
34506-100;Kalacak;;
34507-100;Kalacak;;
34508-100;;;
34509-100;;;
34510-100;;;
34511-100;;;5
34512-100;;;
34513-100;Kalacak;;
34514-100;;;
34515-100;Kalacak;;
00607-100;;;5
00613-200;;;5
00639-200;;;5
00657-200;;;5
00735-200;;;5
34521-200;;;5
34523-100;Kalacak;;
34524-100;;;5
34525-100;;2;
34526-100;Kalacak;;
34527-100;;;5
34528-100;;2;
34529-100;;;5
34530-100;;;5
34531-100;;;5
34532-100;;;
34533-100;;;
34534-100;;;
34535-100;Kalacak;;
34536-100;Kalacak;;
34537-100;Kalacak;;
34542-100;;;5
34543-100;Kalacak;;
34544-100;Kalacak;;
34544-200;;;5
34545-100;Kalacak;;
34545-200;;;
34546-200;;;5
34547-200;;2;
34550-100;Kalacak;;
34551-200;;2;
34552-100;Kalacak;;
34553-100;;;5
34554-100;Kalacak;;
34555-100;Kalacak;;
34556-100;Kalacak;;
34557-100;Kalacak;;
34559-100;Kalacak;;
34560-200;Kalacak;;
00678-100;Kalacak;;
00729-200;;;5
00732-200;;;5
01018-100;;;5
34565-100;;;5
34566-100;Kalacak;;
34567-100;;2;
34568-100;Kalacak;;
34569-100;;;5
34570-100;;;
01021-100;;;5
01029-200;;;5
34573-100;Kalacak;;
34575-100;Kalacak;;
34580-100;;2;
34581-100;;;5
34582-100;;;5
34583-100;Kalacak;;
34586-100;Kalacak;;
34586-200;;2;
34587-100;Kalacak;;
34588-100;Kalacak;;
34589-100;;;
34590-100;;;5
34591-100;Kalacak;;
34593-100;Kalacak;;
01031-200;;;5
34595-100;;2;
34596-200;Kalacak;;
34599-100;;2;
34602-100;;2;
34603-100;;2;
34606-100;;2;
34607-100;;2;
34608-100;;2;
34609-100;;;
34610-100;Kalacak;;
34611-100;Kalacak;;
34612-100;;2;
34614-100;;2;
34615-100;;2;
34616-100;;2;
34617-100;;;
34618-100;;;
34619-100;;;
34620-100;;2;
34621-100;Kalacak;;
34622-100;;2;
34623-100;;;
34624-100;;;
34625-100;;;
34626-100;;;
34627-100;;;
34629-100;;;
34630-100;;;
34631-100;;;
34633-100;;;
34640-100;;;
34641-100;;2;
34642-100;;2;
34643-100;;2;
34644-100;;;
34645-100;Kalacak;;
